PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Andrea Bargnani,TOR,21,65,35,30,1629.5,751,42.7,37.3,82.4,52,203,255,50,107,32,53,180,1,0,42,2006-07,10,1
Craig Smith,MIN,23,82,32,50,1536.6,608,53.1,0.0,62.4,149,266,415,49,74,51,18,223,3,0,-131,2006-07,6,1
Jorge Garbajosa,TOR,29,67,36,31,1909.3,567,42.0,34.2,73.1,48,282,330,125,64,78,15,90,3,0,95,2006-07,2,0
LaMarcus Aldridge,POR,21,63,24,39,1391.8,565,50.3,0.0,72.2,144,168,312,24,43,22,73,186,6,0,-58,2006-07,16,1
Paul Millsap,UTA,22,82,51,31,1472.1,559,52.5,33.3,67.3,183,240,423,62,94,67,74,236,7,0,144,2006-07,16,1
Rajon Rondo,BOS,21,78,21,57,1830.9,501,41.8,20.7,64.7,74,218,292,297,137,128,8,181,3,0,39,2006-07,16,1
Shelden Williams,ATL,23,81,30,51,1513.4,444,45.5,50.0,76.4,131,304,435,44,96,52,39,199,8,0,-235,2006-07,6,1
Rodney Carney,PHI,23,67,24,43,1169.1,442,46.4,34.7,60.9,39,89,128,26,43,38,23,118,0,0,-126,2006-07,5,1
Walter Herrmann,CHA,28,48,19,29,935.5,442,52.7,46.1,77.4,28,111,139,26,32,17,7,76,1,0,-13,2006-07,3,0
Ersan Ilyasova,MIL,20,66,23,43,973.0,402,38.3,36.5,78.7,58,131,189,49,51,27,17,147,0,0,-200,2006-07,13,1
Tyrus Thomas,CHI,20,72,44,28,966.2,374,47.5,0.0,60.6,89,180,269,40,94,46,76,162,2,0,151,2006-07,8,1
Tarence Kinsey,MEM,23,48,13,35,966.8,369,45.7,28.3,79.6,29,68,97,41,46,53,1,57,0,0,-111,2006-07,3,0
Renaldo Balkman,NYK,22,68,28,40,1064.2,334,50.5,18.5,56.7,97,197,294,44,49,57,44,146,4,0,-22,2006-07,6,1
Mickael Gelabale,SEA,24,70,26,44,1238.7,321,46.2,23.4,80.5,59,114,173,56,49,24,22,108,0,0,-70,2006-07,3,0
Jordan Farmar,LAL,20,72,37,35,1089.7,320,42.2,32.8,71.1,22,97,119,137,73,44,7,77,0,0,13,2006-07,10,1
