PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Jordan Bell,GSW,23,57,43,14,808.9,262,62.7,0.0,68.2,60,147,207,102,51,35,56,92,1,0,159,2017-18,5,1
Cedi Osman,CLE,23,61,35,26,672.5,238,48.4,36.8,56.5,19,101,120,41,32,22,3,78,0,0,35,2017-18,5,1
Jawun Evans,LAC,21,48,24,24,777.9,231,35.2,27.8,77.6,9,75,84,100,44,36,6,97,0,0,9,2017-18,2,0
Wes Iwundu,ORL,23,62,18,44,1020.3,229,42.7,19.6,72.3,36,101,137,57,30,33,12,81,0,0,-105,2017-18,5,1
Sterling Brown,MIL,23,54,26,28,776.4,217,40.0,35.2,87.5,27,116,143,25,25,31,13,80,0,0,-49,2017-18,5,1
C.J. Williams,LAC,28,38,17,21,706.5,209,44.2,28.2,81.3,12,44,56,43,20,31,13,63,0,0,-33,2017-18,2,0
Ivan Rabb,MEM,21,36,6,30,515.6,201,56.6,0.0,80.6,53,105,158,32,35,12,13,55,3,0,-96,2017-18,2,0
Kobi Simmons,MEM,20,32,6,26,643.1,196,42.3,28.2,100.0,14,36,50,68,44,18,5,61,0,0,-213,2017-18,2,0
Semi Ojeleye,BOS,23,73,50,23,1150.2,195,34.6,32.0,61.0,37,124,161,20,25,21,4,91,0,0,-182,2017-18,5,1
Terrance Ferguson,OKC,20,61,37,24,763.1,189,41.4,33.3,90.0,19,28,47,19,11,24,10,83,0,0,-84,2017-18,4,0
Tyler Cavanaugh,ATL,24,39,11,28,518.5,183,44.1,36.0,81.0,45,82,127,27,13,9,4,61,0,0,-25,2017-18,2,0
Damyean Dotson,NYK,24,44,11,33,474.1,182,44.7,32.4,69.6,9,75,84,31,17,12,2,34,2,0,-38,2017-18,5,1
Khem Birch,ORL,25,42,14,28,578.4,178,54.0,0.0,68.9,70,110,180,34,21,15,21,56,3,0,11,2017-18,5,1
Dwayne Bacon,CHA,22,53,25,28,713.0,175,37.5,25.6,80.0,4,120,124,38,23,16,2,46,0,0,11,2017-18,4,0
Torrey Craig,DEN,27,39,22,17,628.9,163,45.3,29.3,62.9,40,87,127,25,20,12,15,63,0,0,-61,2017-18,5,1
Damion Lee,ATL,25,15,4,11,404.4,161,40.8,25.0,75.9,11,60,71,29,14,19,1,25,0,0,-24,2017-18,5,1
T.J. Leaf,IND,21,53,31,22,459.2,156,47.1,42.9,62.5,29,53,82,9,10,5,4,45,0,0,-82,2017-18,4,0
Shaquille Harrison,PHX,24,23,3,20,384.5,152,47.6,23.1,73.7,9,52,61,55,22,26,7,42,1,0,47,2017-18,5,1
Antonio Blakeney,CHI,21,19,3,16,313.9,151,37.1,28.8,76.9,4,29,33,20,11,7,1,19,0,0,-6,2017-18,2,0
Brandon Paul,SAS,27,64,38,26,575.8,147,43.3,27.8,51.2,6,62,68,37,29,25,7,58,0,0,-9,2017-18,1,0
Abdel Nader,BOS,24,48,33,15,521.5,146,33.6,35.4,59.0,13,58,71,26,34,15,10,45,0,0,-109,2017-18,5,1
Jonathan Isaac,ORL,20,27,11,16,535.4,145,37.9,34.8,76.0,16,83,99,18,27,33,30,48,0,0,-100,2017-18,3,0
Alex Caruso,LAL,24,37,16,21,561.9,134,43.1,30.2,70.0,15,50,65,75,42,23,10,52,0,0,-3,2017-18,5,1
Luke Kornet,NYK,22,20,6,14,326.5,134,39.2,35.4,72.7,11,53,64,26,12,6,16,28,1,0,-71,2017-18,5,1
Ante Zizic,CLE,21,32,21,11,214.2,119,73.1,0.0,72.4,24,36,60,5,11,2,13,30,0,0,-39,2017-18,3,0
Myke Henry,MEM,25,20,3,17,378.1,107,37.6,32.8,60.0,10,28,38,22,19,31,6,28,0,0,-30,2017-18,1,0
Jamil Wilson,LAC,27,15,6,9,273.8,105,46.9,42.9,50.0,3,29,32,10,8,5,8,34,0,0,-1,2017-18,1,0
Kyle Collinsworth,DAL,26,32,9,23,479.6,101,38.4,23.5,52.5,32,75,107,56,24,17,9,44,1,0,-29,2017-18,1,0
Markelle Fultz,PHI,20,14,11,3,253.0,100,40.5,0.0,47.6,11,32,43,53,17,12,4,22,1,1,20,2017-18,5,1
Johnathan Motley,DAL,23,11,1,10,175.8,96,53.3,16.7,53.6,14,35,49,7,9,3,2,18,1,0,-17,2017-18,3,0
Rodney Purvis,ORL,24,16,5,11,289.6,96,32.7,25.0,86.7,1,26,27,17,10,3,3,26,0,0,-58,2017-18,1,0
Alec Peters,PHX,23,20,2,18,224.9,82,37.8,31.0,80.0,8,29,37,12,4,2,2,13,0,0,35,2017-18,1,0
Isaiah Hicks,NYK,23,18,4,14,239.5,80,45.8,22.2,66.7,10,31,41,16,16,2,4,45,0,0,-45,2017-18,2,0
Guerschon Yabusele,BOS,22,33,24,9,235.1,79,42.6,32.4,68.2,17,35,52,16,12,4,5,23,0,0,-7,2017-18,2,0
Jamel Artis,ORL,25,15,4,11,279.0,77,39.2,27.6,58.3,4,34,38,18,8,2,3,11,0,0,-6,2017-18,1,0
Jalen Jones,DAL,25,16,3,13,181.4,74,38.2,38.5,63.2,13,25,38,4,7,5,1,22,0,0,-32,2017-18,2,0
Andrew White III,ATL,25,15,1,14,209.1,69,34.2,36.7,25.0,4,30,34,6,8,3,1,12,0,0,-76,2017-18,1,0
Davon Reed,PHX,23,21,2,19,242.2,63,28.9,28.9,66.7,2,37,39,13,10,10,2,17,0,0,-75,2017-18,3,0
Caleb Swanigan,POR,21,27,16,11,189.3,61,40.0,12.5,66.7,15,39,54,14,18,5,3,37,0,0,-11,2017-18,3,0
Dakari Johnson,OKC,22,31,21,10,161.4,55,56.4,0.0,55.0,16,18,34,8,3,6,8,27,0,0,33,2017-18,1,0
Derrick White,SAS,23,17,7,10,138.7,54,48.5,61.5,70.0,5,21,26,9,6,4,3,8,0,0,31,2017-18,5,1
John Holland,CLE,29,24,17,7,174.4,54,28.8,30.6,69.2,6,18,24,5,8,7,2,10,0,0,-29,2017-18,2,0
Ryan Arcidiacono,CHI,24,24,6,18,304.1,48,41.5,29.0,83.3,1,24,25,35,13,13,0,18,0,0,-24,2017-18,5,1
Josh Magette,ATL,28,18,3,15,216.2,46,32.6,36.4,100.0,2,17,19,57,9,8,1,16,0,0,-1,2017-18,2,0
Jabari Bird,BOS,23,13,8,5,114.5,39,57.7,42.9,46.2,6,13,19,8,8,3,1,7,0,0,18,2017-18,1,0
Malcolm Miller,TOR,25,15,15,0,125.8,38,46.4,38.1,100.0,4,11,15,3,5,1,2,10,0,0,7,2017-18,3,0
Milton Doyle,BKN,24,10,2,8,124.5,34,27.7,17.4,50.0,3,15,18,10,2,6,2,13,0,0,-12,2017-18,1,0
Josh Gray,PHX,24,5,0,5,86.4,32,26.8,23.1,63.6,2,8,10,12,7,8,2,8,0,0,-69,2017-18,2,0
Derrick Walton Jr.,MIA,23,16,8,8,147.2,29,32.0,41.2,100.0,2,14,16,16,2,7,3,7,0,0,-30,2017-18,3,0
Xavier Rathan-Mayes,MEM,24,5,0,5,117.8,29,28.6,7.1,44.4,0,5,5,18,11,6,3,18,0,0,-59,2017-18,1,0
Jaylen Morris,ATL,22,6,2,4,98.5,28,40.6,20.0,0.0,2,14,16,7,6,2,1,2,0,0,-42,2017-18,3,0
Nigel Hayes,SAC,23,9,6,3,122.2,27,33.3,25.0,33.3,4,18,22,6,2,2,3,8,0,0,9,2017-18,1,0
Andre Ingram,LAL,32,2,1,1,64.1,24,47.1,55.6,100.0,1,5,6,7,3,3,3,3,0,0,20,2017-18,2,0
Antonius Cleveland,ATL,24,17,7,10,122.5,23,38.1,75.0,66.7,3,11,14,2,7,7,5,23,0,0,-45,2017-18,2,0
Furkan Korkmaz,PHI,20,14,11,3,79.7,23,28.6,29.4,50.0,2,9,11,4,2,2,1,12,0,0,-44,2017-18,5,1
Omari Johnson,MEM,29,4,1,3,75.1,22,42.9,33.3,0.0,4,7,11,7,3,2,0,6,0,0,10,2017-18,1,0
Thomas Bryant,LAL,20,15,7,8,72.3,22,38.1,10.0,55.6,3,14,17,6,2,1,2,6,0,0,-9,2017-18,5,1
Zhou Qi,HOU,22,18,14,4,124.0,22,18.8,10.5,66.7,6,16,22,2,10,2,14,14,0,0,-67,2017-18,2,0
Alfonzo McKinnie,TOR,25,14,13,1,53.4,21,53.3,33.3,66.7,1,6,7,1,3,1,1,8,0,0,-14,2017-18,5,1
D.J. Wilson,MIL,22,22,12,10,71.1,21,56.3,40.0,50.0,2,8,10,3,4,3,1,7,0,0,-41,2017-18,5,1
Gian Clavell,DAL,24,7,0,7,63.6,20,33.3,40.0,100.0,1,6,7,3,2,2,0,8,0,0,19,2017-18,1,0
Kadeem Allen,BOS,25,18,9,9,107.2,19,27.3,0.0,77.8,4,7,11,12,9,3,2,15,0,0,-20,2017-18,3,0
Jameel Warney,DAL,24,3,1,2,26.9,17,58.3,0.0,60.0,4,5,9,0,1,0,0,2,0,0,-5,2017-18,1,0
Walt Lemon Jr.,NOP,25,5,4,1,35.1,17,43.8,100.0,66.7,0,2,2,5,4,0,1,5,0,0,-15,2017-18,2,0
James Webb III,BKN,24,10,1,9,119.9,16,25.0,21.1,0.0,8,16,24,4,4,1,0,10,0,0,-26,2017-18,1,0
Ike Anigbogu,IND,19,11,5,6,29.8,13,44.4,0.0,83.3,5,4,9,0,2,1,3,1,0,0,-14,2017-18,2,0
Daniel Hamilton,OKC,22,6,5,1,27.7,12,45.5,40.0,0.0,0,5,5,8,2,1,0,2,0,0,-12,2017-18,2,0
Marcus Paige,CHA,24,5,4,1,28.0,12,28.6,25.0,100.0,0,4,4,3,0,0,0,0,0,0,8,2017-18,1,0
Monte Morris,DEN,23,3,2,1,25.3,10,66.7,0.0,100.0,0,2,2,7,1,3,0,1,0,0,-7,2017-18,5,1
Aaron Jackson,HOU,32,1,0,1,34.5,8,33.3,25.0,50.0,2,1,3,1,1,0,0,4,0,0,-10,2017-18,1,0
Mangok Mathiang,CHA,25,4,3,1,19.8,8,57.1,0.0,0.0,3,7,10,0,0,1,0,5,0,0,1,2017-18,1,0
Tony Bradley,UTA,20,9,6,3,29.1,8,27.3,0.0,100.0,4,7,11,1,0,0,0,1,0,0,1,2017-18,5,1
London Perrantes,CLE,23,14,8,6,65.5,7,15.4,0.0,60.0,1,3,4,5,1,2,1,6,0,0,-20,2017-18,1,0
Charles Cooke,NOP,23,13,8,5,38.1,6,14.3,12.5,50.0,0,2,2,1,1,1,0,0,0,0,-9,2017-18,1,0
Vincent Hunter,MEM,23,4,0,4,7.4,6,60.0,0.0,0.0,2,1,3,0,1,0,1,0,0,0,6,2017-18,1,0
Matt Williams Jr.,MIA,24,3,1,2,11.4,5,33.3,20.0,0.0,0,1,1,0,1,0,0,1,0,0,16,2017-18,1,0
Jacob Wiley,BKN,23,5,1,4,33.3,4,25.0,50.0,50.0,2,9,11,2,0,1,0,4,0,0,13,2017-18,1,0
Matt Costello,SAS,24,4,2,2,32.2,4,50.0,0.0,0.0,1,8,9,2,1,2,2,7,0,0,15,2017-18,1,0
Naz Mitrou-Long,UTA,24,1,0,1,0.5,3,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,5,2017-18,3,0
Reggie Hearn,DET,26,3,3,0,6.6,3,50.0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,-5,2017-18,1,0
Devin Robinson,WAS,23,1,0,1,13.2,2,33.3,0.0,0.0,2,3,5,0,0,1,0,2,0,0,10,2017-18,2,0
Edmond Sumner,IND,22,1,0,1,2.2,2,100.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,-6,2017-18,4,0
Jacob Pullen,PHI,28,3,2,1,6.1,2,50.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,2017-18,1,0
Justin Patton,MIN,21,1,0,1,3.7,2,50.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,3,2017-18,4,0
P.J. Dozier,OKC,21,2,1,1,3.2,2,50.0,0.0,0.0,0,1,1,0,1,0,0,1,0,0,-3,2017-18,5,1
Ben Moore,IND,23,2,1,1,9.3,0,0.0,0.0,0.0,0,1,1,1,0,0,0,4,0,0,-15,2017-18,1,0
Chris Boucher,GSW,25,1,1,0,1.3,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,2017-18,5,1
Erik McCree,UTA,24,4,4,0,7.5,0,0.0,0.0,0.0,0,1,1,0,1,1,0,0,0,0,-9,2017-18,1,0
Trey McKinney-Jones,IND,27,1,1,0,1.2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2017-18,1,0
Tyler Lydon,DEN,22,1,1,0,2.2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-6,2017-18,2,0
Dario Saric,PHI,23,81,28,53,2129.0,1040,41.1,31.1,78.2,112,401,513,182,183,57,30,162,10,0,-307,2016-17,5,1
Buddy Hield,SAC,24,82,31,51,1888.2,866,42.6,39.1,84.2,35,234,269,121,101,38,9,115,0,0,-212,2016-17,6,1
Jamal Murray,DEN,20,82,40,42,1764.6,811,40.4,33.4,88.3,41,173,214,170,113,51,24,124,1,0,77,2016-17,5,1
Malcolm Brogdon,MIL,24,75,38,37,1982.4,767,45.7,40.4,86.5,47,166,213,317,113,84,12,140,2,1,87,2016-17,6,1
Marquese Chriss,PHX,19,82,24,58,1743.4,753,44.9,32.1,62.4,96,252,348,60,108,67,70,263,3,0,-382,2016-17,6,1
Brandon Ingram,LAL,19,79,26,53,2279.3,740,40.2,29.4,62.1,60,256,316,166,116,50,36,158,0,0,-383,2016-17,6,1
Joel Embiid,PHI,23,31,13,18,786.1,627,46.6,36.7,78.3,61,182,243,66,117,27,76,112,9,0,67,2016-17,6,1
Willy Hernangomez,NYK,23,72,27,45,1324.4,587,52.9,26.7,72.8,170,332,502,96,100,41,36,150,11,0,-54,2016-17,6,1
Isaiah Whitehead,BKN,22,73,17,56,1643.5,543,40.2,29.5,80.5,32,152,184,192,142,42,36,175,1,0,-116,2016-17,2,0
Jaylen Brown,BOS,20,78,50,28,1341.3,515,45.5,34.3,68.5,45,175,220,64,68,35,18,142,0,0,-123,2016-17,6,1
Rodney McGruder,MIA,25,78,40,38,1965.9,497,41.3,33.2,62.0,94,162,256,124,56,46,18,140,0,0,7,2016-17,6,1
Domantas Sabonis,OKC,21,81,46,35,1631.5,479,39.9,32.1,65.7,46,242,288,82,83,39,32,200,2,0,16,2016-17,6,1
Caris LeVert,BKN,22,57,15,42,1236.9,468,45.0,32.1,72.0,23,165,188,110,59,49,8,91,0,0,-92,2016-17,6,1
Yogi Ferrell,DAL,24,46,18,28,1197.0,462,40.6,38.6,83.1,20,91,111,172,70,42,9,90,0,0,-117,2016-17,5,1
Timothe Luwawu-Cabarrot,PHI,22,69,23,46,1189.9,445,40.2,31.1,85.4,25,124,149,75,73,32,10,154,0,0,-57,2016-17,6,1
Tyler Ulis,PHX,21,61,15,46,1122.7,444,42.1,26.6,77.5,20,75,95,226,77,48,5,73,6,0,-142,2016-17,3,0
Andrew Harrison,MEM,22,72,38,34,1473.9,425,32.5,27.6,76.3,23,113,136,198,85,53,21,194,0,0,-26,2016-17,3,0
Mindaugas Kuzminskas,NYK,27,68,24,44,1016.3,425,42.8,32.1,80.9,47,79,126,69,51,29,11,79,0,0,-3,2016-17,2,0
Alex Abrines,OKC,23,68,37,31,1055.2,406,39.3,38.1,89.8,18,68,86,40,33,37,8,114,0,0,1,2016-17,3,0
Malcolm Delaney,ATL,28,73,37,36,1247.5,391,37.4,23.6,80.6,10,113,123,193,95,39,1,112,0,0,32,2016-17,2,0
Dorian Finney-Smith,DAL,24,81,33,48,1641.8,350,37.2,29.3,75.4,55,167,222,67,45,52,25,125,0,0,-120,2016-17,6,1
Taurean Prince,ATL,23,59,28,31,981.4,335,40.0,32.4,78.7,25,132,157,55,61,43,27,96,0,0,-29,2016-17,6,1
Juancho Hernangomez,DEN,21,62,30,32,841.9,305,45.1,40.7,75.0,43,144,187,29,31,30,12,62,1,0,-34,2016-17,6,1
Davis Bertans,SAS,24,67,51,16,807.6,303,44.0,39.9,82.4,22,76,98,46,32,20,28,75,0,0,116,2016-17,6,1
Kris Dunn,MIN,23,78,30,48,1333.0,293,37.7,28.8,61.0,24,142,166,188,89,78,36,178,1,0,-132,2016-17,6,1
Denzel Valentine,CHI,23,57,28,29,976.5,291,35.4,35.1,77.8,11,140,151,63,49,30,7,86,1,0,-18,2016-17,5,1
Skal Labissiere,SAC,21,33,9,24,611.6,289,53.7,37.5,70.3,51,111,162,27,37,16,13,64,2,0,-41,2016-17,4,0
Ivica Zubac,LAL,20,38,8,30,608.5,284,52.9,0.0,65.3,41,118,159,30,30,14,33,66,4,0,-134,2016-17,6,1
Patrick McCaw,GSW,21,71,57,14,1074.0,282,43.3,33.3,78.4,21,79,100,77,36,32,15,62,0,0,-43,2016-17,5,1
Paul Zipser,CHI,23,44,21,23,843.4,240,39.8,33.3,77.5,15,110,125,36,40,15,16,78,0,0,15,2016-17,2,0
Pascal Siakam,TOR,23,55,35,20,859.1,229,50.2,14.3,68.8,64,121,185,17,33,26,45,109,0,0,-52,2016-17,6,1
Thon Maker,MIL,20,57,31,26,562.2,226,45.9,37.8,65.3,40,74,114,23,17,10,26,84,0,0,-27,2016-17,5,1
Ron Baker,NYK,24,52,14,38,857.0,215,37.8,26.7,65.1,12,86,98,107,56,34,8,74,0,0,-56,2016-17,3,0
Troy Williams,HOU,22,30,19,11,556.6,185,43.7,29.0,65.6,15,54,69,25,32,27,10,60,0,0,-76,2016-17,3,0
Semaj Christon,OKC,24,64,36,28,972.6,183,34.5,19.0,54.8,19,68,87,130,43,28,7,79,0,0,-140,2016-17,1,0
Derrick Jones Jr.,PHX,20,32,7,25,545.4,168,56.2,27.3,70.7,39,40,79,12,13,14,13,63,0,0,33,2016-17,6,1
Kay Felder,CLE,22,42,25,17,385.8,166,39.2,31.8,71.4,3,38,41,58,30,18,7,38,0,0,-53,2016-17,2,0
Jakob Poeltl,TOR,21,54,38,16,626.4,165,58.3,0.0,54.4,78,87,165,12,29,17,20,113,0,0,-6,2016-17,6,1
Tomas Satoransky,WAS,25,57,33,24,719.2,154,41.5,24.3,69.7,25,58,83,92,38,26,6,60,1,0,12,2016-17,6,1
Nicolas Brussino,DAL,24,54,18,36,521.4,150,36.9,30.5,77.3,26,69,95,47,26,17,8,43,0,0,-107,2016-17,2,0
Shawn Long,PHI,24,18,5,13,233.6,148,56.0,36.8,54.3,41,44,85,13,13,9,9,49,1,0,20,2016-17,1,0
Dragan Bender,PHX,19,43,13,30,573.6,146,35.4,27.7,36.4,23,80,103,23,32,10,22,74,1,0,-25,2016-17,4,0
Chasson Randle,NYK,24,26,8,18,299.0,137,40.8,34.0,95.3,6,26,32,34,19,9,2,39,0,0,-10,2016-17,4,0
Dejounte Murray,SAS,20,38,29,9,321.5,130,43.1,39.1,70.0,6,36,42,48,38,8,6,29,0,0,1,2016-17,5,1
Georgios Papagiannis,SAC,19,22,7,15,355.0,124,54.9,0.0,85.7,24,62,86,20,24,3,17,44,2,0,-30,2016-17,2,0
David Nwaba,LAL,24,20,5,15,397.2,120,58.0,20.0,64.1,17,46,63,14,11,13,7,36,0,0,10,2016-17,6,1
Fred VanVleet,TOR,23,37,25,12,293.8,107,35.1,37.9,81.8,4,38,42,35,15,16,3,36,0,0,65,2016-17,6,1
Jonathan Gibson,DAL,29,17,4,13,231.2,106,36.8,33.3,72.4,1,21,22,26,21,8,0,21,0,0,-83,2016-17,2,0
Wade Baldwin IV,MEM,21,33,18,15,405.0,106,31.3,13.6,83.8,11,35,46,61,39,18,7,40,0,0,-139,2016-17,3,0
DeAndre' Bembry,ATL,22,38,20,18,370.7,101,48.0,5.6,37.5,14,45,59,28,16,8,5,21,0,0,-47,2016-17,6,1
Maurice Ndour,NYK,25,32,10,22,331.5,98,45.3,14.3,73.1,22,42,64,8,12,15,8,30,1,0,-2,2016-17,1,0
Okaro White,MIA,24,35,26,9,471.2,98,37.9,35.3,90.9,25,57,82,21,18,10,10,52,0,0,68,2016-17,3,0
Bryn Forbes,SAS,23,36,24,12,284.9,94,36.4,32.1,83.3,2,21,23,23,11,1,0,20,0,0,-51,2016-17,6,1
Sheldon Mac,WAS,24,30,17,13,286.8,90,40.0,23.3,85.2,4,30,34,15,5,8,2,17,0,0,-55,2016-17,1,0
Cheick Diallo,NOP,20,17,9,8,198.7,87,47.4,0.0,71.4,23,50,73,4,7,4,7,17,3,0,-53,2016-17,5,1
Malik Beasley,DEN,20,22,12,10,164.9,83,45.2,32.1,80.0,5,12,17,11,8,7,0,10,0,0,58,2016-17,6,1
Malachi Richardson,SAC,21,22,9,13,198.1,79,41.2,28.6,78.9,3,20,23,11,8,5,1,23,0,0,-17,2016-17,3,0
Quinn Cook,NOP,24,14,9,5,187.5,79,50.0,42.3,40.0,1,6,7,26,13,4,0,13,0,0,-41,2016-17,5,1
Jake Layman,POR,23,35,16,19,248.8,78,29.2,25.5,76.5,6,18,24,11,11,9,3,22,0,0,-1,2016-17,6,1
Wayne Selden,MEM,22,14,6,8,236.0,71,43.1,25.0,63.6,1,15,16,13,12,6,1,18,0,0,-42,2016-17,4,0
Alex Poythress,PHI,23,6,0,6,156.8,64,46.3,31.6,80.0,11,18,29,5,3,3,2,14,0,0,-36,2016-17,3,0
Henry Ellenson,DET,20,19,8,11,146.2,60,35.9,28.6,50.0,8,33,41,7,14,1,1,6,1,0,-3,2016-17,5,1
Nicolas Laprovittola,SAS,27,18,15,3,174.0,59,42.6,37.0,100.0,1,9,10,28,19,4,1,19,0,0,-44,2016-17,1,0
Deyonta Davis,MEM,20,36,23,13,238.1,58,51.1,0.0,55.6,20,40,60,2,8,3,17,40,0,0,-42,2016-17,3,0
Treveon Graham,CHA,23,27,10,17,188.9,57,47.5,60.0,66.7,5,17,22,6,3,6,1,18,0,0,-39,2016-17,4,0
AJ Hammons,DAL,24,22,4,18,163.2,48,40.5,50.0,45.0,8,28,36,4,10,1,13,21,0,0,-5,2016-17,1,0
Jarrod Uthoff,DAL,24,9,2,7,114.7,40,42.1,33.3,71.4,8,14,22,9,3,2,4,8,0,0,-62,2016-17,2,0
Marshall Plumlee,NYK,24,21,6,15,170.2,40,53.3,0.0,42.1,23,28,51,10,12,4,4,23,1,0,-3,2016-17,2,0
Pierre Jackson,DAL,25,9,4,5,84.4,35,33.3,27.3,85.7,1,8,9,19,3,2,0,5,0,0,55,2016-17,1,0
Tim Quarterman,POR,22,16,6,10,80.0,31,44.8,38.5,0.0,4,10,14,11,11,2,3,6,0,0,1,2016-17,2,0
Daniel Ochefu,WAS,23,19,12,7,74.9,24,44.4,0.0,0.0,5,17,22,3,3,2,0,17,0,0,-30,2016-17,1,0
Stephen Zimmerman,ORL,20,19,8,11,107.8,23,32.3,0.0,60.0,11,24,35,4,3,2,5,17,0,0,-40,2016-17,1,0
Joel Bolomboy,UTA,23,12,8,4,52.5,22,56.3,25.0,50.0,4,13,17,2,2,1,2,1,0,0,12,2016-17,2,0
Georges Niang,IND,24,23,11,12,92.7,21,25.0,8.3,100.0,2,15,17,5,5,3,0,6,0,0,3,2016-17,6,1
Gary Payton II,MIL,24,6,2,4,99.2,20,36.4,11.1,60.0,0,12,12,13,10,3,4,9,0,0,-58,2016-17,6,1
Damian Jones,GSW,22,10,7,3,85.1,19,50.0,0.0,30.0,9,14,23,0,6,1,4,15,0,0,-28,2016-17,6,1
Chinanu Onuaku,HOU,20,5,2,3,51.6,14,71.4,0.0,100.0,2,8,10,3,4,3,1,6,0,0,-45,2016-17,2,0
Marcus Georges-Hunt,ORL,23,5,2,3,47.5,14,28.6,50.0,90.0,1,8,9,3,2,1,0,5,0,0,-25,2016-17,2,0
Kyle Wiltjer,HOU,24,14,12,2,43.9,13,28.6,30.8,50.0,4,6,10,2,5,3,1,4,0,0,-38,2016-17,1,0
Demetrius Jackson,BOS,22,5,1,4,17.0,10,75.0,100.0,50.0,2,2,4,3,0,0,0,0,0,0,1,2016-17,3,0
Diamond Stone,LAC,20,7,6,1,24.3,10,23.1,0.0,100.0,1,5,6,0,2,0,1,5,0,0,-27,2016-17,1,0
Brice Johnson,LAC,23,3,1,2,9.2,4,28.6,0.0,0.0,1,2,3,1,1,2,1,0,0,0,7,2016-17,2,0
Michael Gbinije,DET,25,9,7,2,31.6,4,10.0,0.0,100.0,2,1,3,2,0,0,0,2,0,0,-3,2016-17,1,0
Isaiah Taylor,HOU,22,4,3,1,52.0,3,14.3,0.0,50.0,1,2,3,3,0,1,1,6,0,0,-19,2016-17,2,0
Mike Tobey,CHA,22,2,0,2,25.2,2,25.0,0.0,0.0,2,1,3,1,1,0,0,2,0,0,-17,2016-17,1,0
Ben Bentil,DAL,22,3,2,1,9.9,0,0.0,0.0,0.0,0,2,2,0,1,0,0,1,0,0,-12,2016-17,1,0
Danuel House Jr.,WAS,24,1,0,1,0.8,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,2016-17,6,1
Patricio Garino,ORL,24,5,2,3,43.1,0,0.0,0.0,0.0,1,6,7,0,3,0,0,4,0,0,-14,2016-17,1,0
Karl-Anthony Towns,MIN,20,82,29,53,2626.5,1503,54.2,34.1,81.1,229,629,858,161,183,58,138,245,52,0,-131,2015-16,7,1
D'Angelo Russell,LAL,20,80,17,63,2259.1,1054,41.0,35.1,73.7,47,227,274,266,196,93,13,142,1,0,-546,2015-16,7,1
Devin Booker,PHX,19,76,20,56,2107.7,1048,42.3,34.3,84.0,27,160,187,200,160,44,20,225,3,0,-373,2015-16,7,1
Kristaps Porzingis,NYK,20,72,28,44,2046.5,1028,42.1,33.3,83.8,132,394,526,94,121,53,134,205,21,0,12,2015-16,6,1
Jahlil Okafor,PHI,20,53,6,47,1590.6,928,50.8,16.7,68.6,122,251,373,65,124,22,61,140,11,0,-494,2015-16,6,1
Emmanuel Mudiay,DEN,20,68,29,39,2067.9,872,36.4,31.9,67.0,32,200,232,372,217,65,35,141,4,0,-118,2015-16,6,1
Nikola Jokic,DEN,21,80,31,49,1732.6,796,51.2,33.3,81.1,181,379,560,189,104,79,50,208,16,0,93,2015-16,7,1
Myles Turner,IND,20,60,32,28,1367.2,619,49.8,21.4,72.7,68,264,332,41,67,25,86,158,4,0,-69,2015-16,7,1
Frank Kaminsky,CHA,23,81,47,34,1707.6,606,41.0,33.7,73.0,69,266,335,98,58,38,43,126,1,0,-18,2015-16,7,1
Stanley Johnson,DET,20,73,37,36,1687.1,593,37.5,30.7,78.4,58,248,306,118,114,55,12,178,3,0,-138,2015-16,7,1
Justise Winslow,MIA,20,78,46,32,2232.1,502,42.2,27.6,68.4,81,322,403,118,95,68,26,184,0,0,111,2015-16,7,1
T.J. McConnell,PHI,24,81,10,71,1605.9,493,47.0,34.8,63.4,43,207,250,367,140,95,10,114,0,0,-276,2015-16,7,1
Trey Lyles,UTA,20,80,38,42,1382.4,488,43.8,38.3,69.5,59,240,299,59,65,26,18,114,2,0,-45,2015-16,7,1
Mario Hezonja,ORL,21,79,33,46,1412.9,478,43.3,34.9,90.7,28,148,176,109,97,39,17,124,0,0,-2,2015-16,5,1
Raul Neto,UTA,24,81,40,41,1498.6,476,43.1,39.5,74.3,17,103,120,174,109,62,2,122,0,0,76,2015-16,7,1
Willie Cauley-Stein,SAC,22,66,26,40,1411.5,463,56.3,0.0,64.8,134,218,352,37,46,47,66,146,3,0,-78,2015-16,7,1
Bobby Portis,CHI,21,62,29,33,1102.1,436,42.7,30.8,72.7,123,214,337,52,54,25,22,100,6,0,-178,2015-16,7,1
Jerian Grant,NYK,23,76,29,47,1264.8,426,39.4,22.0,78.0,23,120,143,177,87,50,10,97,0,0,-166,2015-16,5,1
